,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
11,"frozenset({'Paper', 'Storage'})",frozenset({'Binders'}),0.035536035136753845,0.2627270912357756,0.010580954282291874,0.297752808988764,1.133315972815136,0.0012446751367602201,1.0498766220802556
12,"frozenset({'Binders', 'Storage'})",frozenset({'Paper'}),0.039728488720303455,0.23777201038131363,0.010580954282291874,0.2663316582914573,1.1201135821846429,0.0011346316498539802,1.0389271913295792
10,"frozenset({'Paper', 'Binders'})",frozenset({'Storage'}),0.05490117787981633,0.1551207825913356,0.010580954282291874,0.19272727272727272,1.2424336024336022,0.002064640604388641,1.0465846161593815
15,frozenset({'Storage'}),"frozenset({'Paper', 'Binders'})",0.1551207825913356,0.05490117787981633,0.010580954282291874,0.0682110682110682,1.2424336024336022,0.002064640604388641,1.014284233131744
13,frozenset({'Paper'}),"frozenset({'Binders', 'Storage'})",0.23777201038131363,0.039728488720303455,0.010580954282291874,0.04450041981528127,1.1201135821846426,0.0011346316498539802,1.0049941739315629
14,frozenset({'Binders'}),"frozenset({'Paper', 'Storage'})",0.2627270912357756,0.035536035136753845,0.010580954282291874,0.04027355623100304,1.133315972815136,0.0012446751367602201,1.004936324433913
5,"frozenset({'Paper', 'Phones'})",frozenset({'Binders'}),0.034937113196246754,0.2627270912357756,0.010780594929127571,0.3085714285714286,1.1744941380807645,0.0016016688029026303,1.0663037936672668
6,"frozenset({'Binders', 'Phones'})",frozenset({'Paper'}),0.039728488720303455,0.23777201038131363,0.010780594929127571,0.271356783919598,1.1412478007164286,0.0013342722966896772,1.0460922064421971
4,"frozenset({'Paper', 'Binders'})",frozenset({'Phones'}),0.05490117787981633,0.16250748652425634,0.010780594929127571,0.19636363636363638,1.2083359392450301,0.0018587425046575172,1.0421286932390474
9,frozenset({'Phones'}),"frozenset({'Paper', 'Binders'})",0.16250748652425634,0.05490117787981633,0.010780594929127571,0.06633906633906635,1.2083359392450301,0.0018587425046575172,1.0122505805339863
7,frozenset({'Paper'}),"frozenset({'Binders', 'Phones'})",0.23777201038131363,0.039728488720303455,0.010780594929127571,0.04534005037783376,1.1412478007164286,0.0013342722966896772,1.0058780738206847
8,frozenset({'Binders'}),"frozenset({'Paper', 'Phones'})",0.2627270912357756,0.034937113196246754,0.010780594929127571,0.04103343465045593,1.1744941380807645,0.0016016688029026303,1.006357178315166
1,frozenset({'Fasteners'}),frozenset({'Paper'}),0.04292273906967459,0.23777201038131363,0.01177879816330605,0.2744186046511628,1.1541249292171911,0.0015729722036369673,1.0505065241539586
0,frozenset({'Paper'}),frozenset({'Fasteners'}),0.23777201038131363,0.04292273906967459,0.01177879816330605,0.04953820319059614,1.154124929217191,0.0015729722036369673,1.0069602630459518
3,frozenset({'Labels'}),frozenset({'Storage'}),0.06907566380515073,0.1551207825913356,0.01217807945697744,0.17630057803468205,1.1365374457860005,0.0014630084295064634,1.0257130148189397
2,frozenset({'Storage'}),frozenset({'Labels'}),0.1551207825913356,0.06907566380515073,0.01217807945697744,0.0785070785070785,1.1365374457860005,0.0014630084295064634,1.010234929082958
